Timestamp,Age,Gender,Country,Highest Education,Do you use a smartphone?,Do you wear a smartwatch?,Do you like wearing a watch?,"Is there anything you always wear, even in your sleep? (clothing included)",At what age would you like a fall monitoring system?,Are you scared about falling?,"Where are you concerned about falling the most? (example: stairs, bathroom, porch)",What type of fall monitoring system would you prefer?,Fall Location,Always-wear,Privacy - not visible to others,Measures other body vitals,Automatic Alerting - the system automatically sends an emergency 911 alert and informs your family if you've taken a fall and haven't moved for more than a few minutes,On-demand alerting - you initiate an emergency alert with the system when you need help,Style,Works both indoors and outdoors - the system monitors you in all environments,Interactive with buttons and lights - the system has a simple interface with just buttons and status lights,Interactive with a touchscreen display - the system has a full-fledged touchscreen interface,Always-on: the system is always-on and does not require recharging etc. ,"Injury reduction: the system also reduces the injury from the fall by using foam, inflatable airbags etc"
3/18/2020 21:20:51,65,Female,USA,College,Yes,Yes,Yes,"Pajamas, underwear, earrings",75,Yes,Kitchen,On-body (something you wear),Kitchen,Underwear,4,4,5,5,5,3,3,3,5,3
3/18/2020 21:26:32,64,Male,USA,College,Yes,No,Yes,Underpants,60,No,Stairs,On-body (something you wear),Stairs,Underwear,5,5,4,4,4,5,3,4,4,3
3/18/2020 21:27:12,69,Male,USA,College,Yes,Yes,No,"Underwear, t-shirt",70,No,"Walking to the bathroom at night, getting into/out of the tub, uneven sidewalks",On-body (something you wear),Bathroom,Underwear,4,3,4,4,2,5,4,5,5,3
3/18/2020 22:15:54,59,Female,India,College,Yes,Yes,No,Clothes,50,Maybe,Stairs,On-body (something you wear),Stairs,Underwear,3,5,5,5,4,5,4,5,5,5
3/18/2020 22:36:17,58,Male,India,College,Yes,No,Yes,Watch,70,Yes,Bathroom,On-body (something you wear),Bathroom,Watch,4,5,5,5,4,5,5,5,5,4
3/18/2020 22:46:59,68,Male,USA,College,Yes,No,Yes,Just clothing,80,No,Shower,On-body (something you wear),Bathroom,Underwear,2,4,5,5,3,5,4,2,5,2
3/18/2020 22:50:38,67,Female,USA,College,Yes,No,Yes,Necklace,125,Yes,Stairs,On-body (something you wear),Stairs,Necklace,3,3,5,5,3,5,3,3,4,1
3/18/2020 23:20:35,54,Female,India,College,Yes,Yes,Yes,Watch,50,Yes,Bathroom,On-body (something you wear),Bathroom,Watch,5,4,5,5,5,5,4,3,3,5
3/19/2020 7:50:37,64,Female,USA,College,Yes,Yes,Yes,Underwear ,150,Yes,Stairs,On-body (something you wear),Stairs,Underwear,4,4,5,5,5,5,5,2,5,2
3/19/2020 9:19:20,63,Female,USA,College,Yes,Yes,Maybe,"Pajamas, engagement ring",75,No,Stairs,On-body (something you wear),Stairs,Ring,3,4,5,3,3,4,4,4,4,2
